case_id,first_name,last_name,date_of_birth,gender,race,height_cm,weight_kg,eye_color,hair_color,missing_city,missing_state,missing_date,missing_age,recovery_status,recovery_date,circumstance,reporter_type,last_seen_location
C00001,Aditya,Das,2022-06-05,Male,Caucasian,97,36,Hazel,Red,Bangalore,Telangana,2024-09-25,3,Still Missing,,Last seen near park,Parent,"Near temple, Bangalore"
C00002,Ishaan,Joshi,2014-10-27,Male,Mixed,138,24,Black,Blonde,Mumbai,Gujarat,2023-04-13,10,Still Missing,,Abducted by unknown person,Police,"Near bus stop, Lucknow"
C00003,Ishaan,Mehta,2013-10-22,Male,Hispanic,105,15,Black,Grey,Mumbai,Gujarat,2024-09-03,11,Found,2024-10-28,Abducted by unknown person,Police,"Near bus stop, Lucknow"
C00004,Arjun,Mehta,2015-10-10,Male,Mixed,98,16,Brown,Brown,Pune,Karnataka,2024-11-15,10,Still Missing,,Wandered away from home,NGO,"Near school, Ahmedabad"
C00005,Aarav,Gupta,2018-02-24,Male,Asian,127,31,Brown,Red,Lucknow,Rajasthan,2025-01-12,7,Found,2025-07-09,Wandered away from home,Parent,"Near mall, Mumbai"
C00006,Riya,Das,2021-06-30,Female,African,116,39,Green,Red,Kolkata,West Bengal,2023-09-27,4,Found,2023-11-21,Missing after school,NGO,"Near market, Mumbai"
C00007,Kabir,Singh,2021-05-21,Female,Caucasian,102,34,Brown,Black,Bangalore,Rajasthan,2022-07-27,4,Found,2022-07-29,Separated in a crowd,Teacher,"Near temple, Kolkata"
C00008,Vivaan,Kumar,2012-11-01,Female,Asian,103,30,Black,Grey,Ahmedabad,Rajasthan,2024-07-12,12,Still Missing,,Abducted by unknown person,Relative,"Near bus stop, Delhi"
C00009,Aisha,Patel,2016-07-18,Male,Hispanic,117,44,Black,Black,Chennai,Telangana,2022-04-02,9,Still Missing,,Last seen near park,Parent,"Near market, Kolkata"
C00010,Aarav,Nair,2021-10-28,Female,Mixed,135,17,Hazel,Black,Kolkata,Maharashtra,2021-04-07,3,Found,2021-05-14,Last seen near park,Parent,"Near temple, Lucknow"
C00011,Ananya,Joshi,2012-12-16,Female,Asian,146,48,Black,Black,Ahmedabad,Rajasthan,2021-12-18,12,Found,2022-02-04,Lost during travel,Relative,"Near market, Lucknow"
C00012,Aditya,Joshi,2019-12-26,Male,African,138,18,Hazel,Blonde,Mumbai,Rajasthan,2023-10-31,5,Found,2024-03-06,Abducted by unknown person,NGO,"Near school, Ahmedabad"
C00013,Ananya,Das,2021-07-03,Male,Hispanic,92,19,Blue,Black,Chennai,Maharashtra,2024-11-24,4,Found,2025-04-29,Last seen near park,Teacher,"Near bus stop, Jaipur"
C00014,Diya,Nair,2019-01-07,Male,African,117,36,Green,Black,Lucknow,Tamil Nadu,2022-06-09,6,Found,2022-11-18,Lost during travel,Relative,"Near bus stop, Kolkata"
C00015,Aisha,Nair,2013-11-25,Female,Hispanic,157,16,Hazel,Black,Mumbai,Delhi,2021-12-20,11,Still Missing,,Last seen near park,Police,"Near temple, Delhi"
C00016,Ananya,Singh,2019-04-29,Female,Mixed,91,33,Hazel,Red,Kolkata,Telangana,2025-03-11,6,Found,2025-08-27,Missing after school,Police,"Near school, Kolkata"
C00017,Arjun,Kumar,2020-01-11,Male,Hispanic,148,37,Black,Red,Pune,Gujarat,2022-09-08,5,Still Missing,,Separated in a crowd,Relative,"Near bus stop, Bangalore"
C00018,Ananya,Reddy,2021-01-11,Male,African,125,36,Blue,Grey,Delhi,Uttar Pradesh,2021-12-09,4,Still Missing,,Lost during travel,Teacher,"Near bus stop, Mumbai"
C00019,Aarav,Kumar,2017-12-08,Male,Mixed,159,43,Black,Grey,Lucknow,West Bengal,2024-02-19,7,Found,2024-07-11,Last seen near park,Parent,"Near temple, Hyderabad"
C00020,Aditya,Patel,2018-09-04,Male,Hispanic,144,42,Green,Blonde,Kolkata,Karnataka,2024-01-18,7,Still Missing,,Wandered away from home,NGO,"Near school, Jaipur"
C00021,Aarav,Nair,2013-02-04,Female,Asian,150,46,Green,Black,Lucknow,Tamil Nadu,2021-06-20,12,Found,2021-10-17,Wandered away from home,Relative,"Near mall, Bangalore"
C00022,Vivaan,Sharma,2014-03-16,Male,Mixed,115,26,Black,Red,Jaipur,Telangana,2025-02-02,11,Found,2025-07-08,Lost during travel,NGO,"Near mall, Ahmedabad"
C00023,Ananya,Reddy,2014-07-25,Male,African,117,26,Green,Grey,Delhi,Rajasthan,2023-04-28,11,Found,2023-05-28,Last seen near park,Teacher,"Near market, Hyderabad"
C00024,Aarav,Patel,2020-09-09,Female,Asian,147,24,Hazel,Red,Jaipur,West Bengal,2024-07-08,5,Still Missing,,Last seen near park,Parent,"Near temple, Chennai"
C00025,Diya,Patel,2022-08-11,Female,Hispanic,117,43,Brown,Black,Pune,Uttar Pradesh,2022-08-20,3,Found,2022-10-18,Separated in a crowd,Teacher,"Near temple, Lucknow"
C00026,Ananya,Sharma,2021-06-05,Male,Asian,158,38,Black,Brown,Bangalore,Rajasthan,2024-07-05,4,Found,2024-11-13,Last seen near park,Teacher,"Near market, Pune"
